_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude
3185301,0027H00144004500,"166 N DITHRIDGE ST, UNIT 5-D, PITTSBURGH, PA 15213",166, ,N,DITHRIDGE,ST,UNIT,5-D,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,2024-09-04,2024-08-07,177000.0,19790,286.0,0,VALID SALE,GW,GENERAL WARRANTY,,
3185302,0556K00140000000,"120 DELROSE DR, MC KEESPORT, PA 15133",120, ,,DELROSE,DR,,,MC KEESPORT,PA,15133,35,South Allegheny,837,Liberty  ,2024-09-11,2024-02-29,10.0,19797,360.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,,
3185303,0160R00297000000,"418-420 DIVISION AVE, PITTSBURGH, PA 15202",418, -420,,DIVISION,AVE,,,PITTSBURGH,PA,15202,29,Northgate,803,Bellevue  ,2024-09-11,2024-09-06,255000.0,19797,378.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,,
3185304,0124K00176000000,"0 MAXWELL WAY, PITTSBURGH, PA 15206",0, ,,MAXWELL,WAY,,,PITTSBURGH,PA,15206,47,Pittsburgh,112,12th Ward - PITTSBURGH,2024-09-09,2024-08-15,3000.0,19794,308.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.4651171276378,-79.91185050858557
3185305,1347S00204000000,"2563 MEINERT RD, WEXFORD, PA 15090",2563, ,,MEINERT,RD,,,WEXFORD,PA,15090,27,North Allegheny,884,Franklin Park ,2024-09-06,2024-08-21,1.0,19794,91.0,3,LOVE AND AFFECTION SALE,DE,DEED,,
3185306,0055G00312000000,"532 BIGELOW ST, PITTSBURGH, PA 15207",532, ,,BIGELOW,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,2024-09-12,2024-09-11,299000.0,19798,199.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.418967273894566,-79.93867341179126
3185307,0255N00208000000,"314 HICKMAN ST, BRIDGEVILLE, PA 15017",314, ,,HICKMAN,ST,,,BRIDGEVILLE,PA,15017,8,Chartiers Valley,811,Bridgeville  ,2024-09-11,2024-09-10,1.0,19797,501.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.35755857142857,-80.114778
3185308,2188J00002010200,"106 PATRIOT LN, GIBSONIA, PA 15044",106, ,,PATRIOT,LN,,,GIBSONIA,PA,15044,3,Pine-Richland,938,Richland  ,2024-10-07,2024-09-24,1.0,19824,334.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.660019000000005,-79.98144111483836
3185309,0917H00028000000,"507 US ROUTE 30, IMPERIAL, PA 15126",507, ,,US ROUTE 30,,,,IMPERIAL,PA,15126,43,West Allegheny,910,Findlay  ,2024-10-08,2024-10-04,115900.0,19826,330.0,14,TIME ON MARKET (INSUFF/EXCESS),SW,SPECIAL WARRANTY,,
3185310,1009G00049000000,"1037 AJAY DR, SOUTH PARK, PA 15129",1037, ,,AJAY,DR,,,SOUTH PARK,PA,15129,37,South Park,945,South Park  ,2024-10-07,2024-09-16,284900.0,19824,359.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.28287928781309,-80.00509932685047
3185311,0150S00096004000,"1056 PENNSBURY BLVD, PITTSBURGH, PA 15205",1056, ,,PENNSBURY,BLVD,,,PITTSBURGH,PA,15205,24,Montour,871,Pennsbury Village  ,2024-10-10,2024-10-01,179000.0,19828,361.0,0,VALID SALE,DE,DEED,,
3185312,0547A00346000000,"1116 MORRELLE AVE, EAST MC KEESPORT, PA 15035",1116, ,,MORRELLE,AVE,,,EAST MC KEESPORT,PA,15035,14,East Allegheny,821,East McKeesport  ,2024-10-10,2024-08-02,89000.0,19828,376.0,13,EXEMPT BUYER OR SELLER,DE,DEED,,
3185313,1679G00220000000,"2612 BUCHANAN ST, NATRONA HEIGHTS, PA 15065",2612, ,,BUCHANAN,ST,,,NATRONA HEIGHTS,PA,15065,21,Highlands,916,Harrison  ,2024-10-15,2024-09-24,62000.0,19831,151.0,0,VALID SALE,DE,DEED,,
3185314,1499K00030000000,"131 MACBETH PL, WEXFORD, PA 15090",131, ,,MACBETH,PL,,,WEXFORD,PA,15090,3,Pine-Richland,935,Pine  ,2024-10-15,2024-10-07,315000.0,19831,533.0,14,TIME ON MARKET (INSUFF/EXCESS),SW,SPECIAL WARRANTY,40.622297748574184,-80.06095270263714
3185315,0947P00141000000,"1921 SHADY OAK CIR, ALLISON PARK, PA 15101",1921, ,,SHADY OAK,CIR,,,ALLISON PARK,PA,15101,27,North Allegheny,927,McCandless  ,2024-10-16,2024-10-07,360000.0,19832,320.0,0,VALID SALE,SW,SPECIAL WARRANTY,,
3185316,0025F00247000000,"2835 PENN AVE, PITTSBURGH, PA 15222",2835, ,,PENN,AVE,,,PITTSBURGH,PA,15222,47,Pittsburgh,106,6th Ward - PITTSBURGH,2024-10-17,2024-10-10,342500.0,19834,58.0,14,TIME ON MARKET (INSUFF/EXCESS),SW,SPECIAL WARRANTY,40.457283642030134,-79.97515805768097
3185317,0162A00256000000,"181 JACKS RUN RD, PITTSBURGH, PA 15214",181, ,,JACKS RUN,RD,,,PITTSBURGH,PA,15214,28,North Hills,940,Ross  ,2024-10-17,2024-10-08,1.0,19834,136.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.49613281875856,-80.02626977840205
3185318,0887A00004000000,"6166 DALMATION DR, BETHEL PARK, PA 15102",6166, ,,DALMATION,DR,,,BETHEL PARK,PA,15102,5,Bethel Park,876,Bethel Park  ,2024-10-17,2024-02-08,50000.0,19834,168.0,37,ESTATE SALE,DE,DEED,,
3185319,0637H00131000000,"416 FIELDSTONE DR, MONROEVILLE, PA 15146",416, ,,FIELDSTONE,DR,,,MONROEVILLE,PA,15146,18,Gateway,879,Monroeville  ,2024-10-17,2024-10-11,1.0,19834,402.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.450871340615286,-79.78459541848761
3185320,0133P00079000000,"4829 LOUGEAN AVE, PITTSBURGH, PA 15207",4829, ,,LOUGEAN,AVE,,,PITTSBURGH,PA,15207,47,Pittsburgh,131,31st Ward - PITTSBURGH,2024-10-16,2024-09-12,62000.0,19833,6.0,99,CORRECTIVE DEED / DUPLICATE SALE,SW,SPECIAL WARRANTY,40.375653699828035,-79.91182815241366
3185321,0060K00270000000,"1600 MOUNT JOSEPH ST, PITTSBURGH, PA 15210",1600, ,,MOUNT JOSEPH,ST,,,PITTSBURGH,PA,15210,47,Pittsburgh,129,29th Ward - PITTSBURGH,2024-10-18,2024-10-14,207500.0,19836,161.0,9,OTHER INVALID SALES INDICATED,SW,SPECIAL WARRANTY,40.399485,-79.991721
3185322,0088E00060000000,"764 MONTCLAIR ST, PITTSBURGH, PA 15217",764, ,,MONTCLAIR,ST,,,PITTSBURGH,PA,15217,47,Pittsburgh,115,15th Ward - PITTSBURGH,2024-10-22,2024-09-11,230000.0,19838,466.0,0,VALID SALE,DE,DEED,40.4208048492788,-79.93123056029059
